,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
278,tt1606389,The Vow,Michael Sucsy,Rachel McAdams,2012,125014030.0,PG-13,6.8,178921.0,43.0
279,tt5109784,Mother!,Darren Aronofsky,Jennifer Lawrence,2017,17297289.0,R,6.6,179054.0,75.0
280,tt0477080,Unstoppable,Tony Scott,Denzel Washington,2010,81557479.0,PG-13,6.8,179009.0,69.0
281,tt2404435,The Magnificent Seven,Antoine Fuqua,Denzel Washington,2016,93381044.0,PG-13,6.9,177246.0,54.0
282,tt1120985,Blue Valentine,Derek Cianfrance,Ryan Gosling,2010,9600000.0,R,7.4,177590.0,81.0
283,tt1723811,Shame,Steve McQueen,Michael Fassbender,2011,2971782.0,NC-17,7.2,177261.0,72.0
284,tt1646987,Wrath of the Titans,Jonathan Liebesman,Sam Worthington,2012,83640426.0,PG-13,5.7,177707.0,37.0
285,tt0892791,Shrek Forever After,Mike Mitchell,Mike Myers,2010,238319043.0,PG,6.3,177064.0,58.0
286,tt2637276,Ted 2,Seth MacFarlane,Mark Wahlberg,2015,63883740.0,R,6.3,176596.0,48.0
287,tt1458175,The Next Three Days,Paul Haggis,Russell Crowe,2010,21100000.0,PG-13,7.4,175526.0,52.0
288,tt2053463,Side Effects,Steven Soderbergh,Rooney Mara,2013,32154410.0,R,7.1,174956.0,75.0
289,tt1013743,Knight and Day,James Mangold,Tom Cruise,2010,76418654.0,PG-13,6.3,175267.0,46.0
290,tt3774694,Love & Other Drugs,Gaspar Noé,Aomi Muyock,2015,176061.0,Not Rated,6.1,41785.0,51.0
291,tt1617661,Jupiter Ascending,Lana Wachowski,Mila Kunis,2015,43733037.0,PG-13,5.3,173458.0,40.0
292,tt1398426,Straight Outta Compton,F. Gary Gray,O'Shea Jackson Jr.,2015,129402415.0,R,7.9,173298.0,72.0
293,tt1596350,This Means War,McG,Reese Witherspoon,2012,54758461.0,PG-13,6.3,172002.0,31.0
294,tt1217613,Battle Los Angeles,Jonathan Liebesman,Aaron Eckhart,2011,83537651.0,PG-13,5.7,171000.0,37.0
295,tt1872194,The Judge,David Dobkin,Robert Downey Jr.,2014,35631470.0,R,7.4,169898.0,48.0
296,tt1596365,The Woman in Black,James Watkins,Emma Shorey,2012,54322273.0,PG-13,6.4,170061.0,62.0
297,tt1583421,G.I. Joe: Retaliation,Jon M. Chu,Dwayne Johnson,2013,122512052.0,PG-13,5.8,169385.0,41.0
298,tt2005151,War Dogs,Todd Phillips,Miles Teller,2016,43017433.0,R,7.1,167559.0,57.0
299,tt5311514,Your Name.,Makoto Shinkai,Ryûnosuke Kamiki,2016,4676810.0,PG,8.4,164672.0,79.0
300,tt1964418,Tomorrowland,Brad Bird,George Clooney,2015,71526443.0,PG,6.4,167298.0,60.0
301,tt2557490,A Million Ways to Die in the West,Seth MacFarlane,Seth MacFarlane,2014,37331031.0,R,6.1,166139.0,44.0
302,tt4776998,The Promise,Terry George,Oscar Isaac,2016,8186236.0,PG-13,5.9,166105.0,49.0
303,tt1226229,Get Him to the Greek,Nicholas Stoller,Russell Brand,2010,60923325.0,R,6.4,165403.0,65.0
304,tt2023587,Mama,Andy Muschietti,Jessica Chastain,2013,71588220.0,PG-13,6.2,164908.0,57.0
305,tt2333784,The Expendables 3,Patrick Hughes,Sylvester Stallone,2014,34742878.0,PG-13,6.1,162619.0,35.0
306,tt1229340,Anchorman 2: The Legend Continues,Adam McKay,Will Ferrell,2013,76820043.0,PG-13,6.3,163107.0,61.0
307,tt0478304,The Tree of Life,Terrence Malick,Brad Pitt,2011,13303319.0,PG-13,6.8,162847.0,85.0
308,tt1355683,Black Mass,Scott Cooper,Johnny Depp,2015,48786443.0,R,6.9,162012.0,68.0
309,tt1935179,Mud,Jeff Nichols,Matthew McConaughey,2012,21589307.0,PG-13,7.4,161427.0,76.0
310,tt1628841,Independence Day: Resurgence,Roland Emmerich,Liam Hemsworth,2016,103137295.0,PG-13,5.2,161085.0,32.0
311,tt1488555,The Change-Up,David Dobkin,Ryan Reynolds,2011,37000000.0,R,6.3,160124.0,39.0
312,tt1465522,Tucker and Dale vs Evil,Eli Craig,Tyler Labine,2010,154232.0,R,7.5,159838.0,65.0
313,tt4555426,Darkest Hour,Joe Wright,Gary Oldman,2017,28086332.0,PG-13,7.4,157026.0,75.0
314,tt2369135,Need for Speed,Scott Waugh,Aaron Paul,2014,40138026.0,PG-13,6.5,158878.0,39.0
315,tt2404463,The Heat,Paul Feig,Sandra Bullock,2013,158300000.0,R,6.6,158518.0,60.0
316,tt1231587,Hot Tub Time Machine,Steve Pink,John Cusack,2010,48925682.0,R,6.4,158022.0,63.0
317,tt1220634,Resident Evil: Afterlife,Paul W.S. Anderson,Milla Jovovich,2010,60128566.0,R,5.8,157753.0,37.0
318,tt0918940,The Legend of Tarzan,David Yates,Alexander Skarsgård,2016,126585313.0,PG-13,6.2,157881.0,44.0
319,tt1253864,Immortals,Tarsem Singh,Henry Cavill,2011,83488546.0,R,6.0,157247.0,46.0
320,tt2316411,Enemy,Denis Villeneuve,Jake Gyllenhaal,2013,455421.0,R,6.9,154864.0,61.0
321,tt1277953,Madagascar 3: Europe's Most Wanted,Eric Darnell,Ben Stiller,2012,216366733.0,PG,6.8,155354.0,60.0
322,tt2873282,Red Sparrow,Francis Lawrence,Jennifer Lawrence,2018,17000000.0,R,6.6,154605.0,53.0
323,tt1821694,RED 2,Dean Parisot,Bruce Willis,2013,53215979.0,PG-13,6.6,154775.0,47.0
324,tt2239822,Valerian and the City of a Thousand Planets,Luc Besson,Dane DeHaan,2017,40442321.0,PG-13,6.5,153094.0,51.0
325,tt1661199,Cinderella,Kenneth Branagh,Cate Blanchett,2015,183327144.0,PG,6.9,152494.0,67.0
326,tt1139328,The Ghost Writer,Roman Polanski,Ewan McGregor,2010,11016593.0,PG-13,7.2,152879.0,77.0
327,tt1469304,Baywatch,Seth Gordon,Dwayne Johnson,2017,58009442.0,R,5.5,151963.0,37.0
328,tt2170439,Horrible Bosses 2,Sean Anders,Jason Bateman,2014,39939072.0,R,6.3,152452.0,40.0
329,tt0990407,The Green Hornet,Michel Gondry,Seth Rogen,2011,98000000.0,PG-13,5.8,152283.0,39.0
330,tt1288558,Evil Dead,Fede Alvarez,Jane Levy,2013,54200000.0,R,6.5,151873.0,57.0
331,tt1446192,Rise of the Guardians,Peter Ramsey,Chris Pine,2012,98800000.0,PG,7.3,151271.0,58.0
332,tt1216475,Cars 2,John Lasseter,Larry the Cable Guy,2011,191450875.0,G,6.1,150876.0,57.0
333,tt1411250,Riddick,David Twohy,Vin Diesel,2013,35512027.0,R,6.4,150316.0,49.0
334,tt1935859,Miss Peregrine's Home for Peculiar Children,Tim Burton,Eva Green,2016,87240689.0,PG-13,6.7,148959.0,57.0
335,tt3532216,American Made,Doug Liman,Tom Cruise,2017,51071805.0,R,7.1,148203.0,65.0
336,tt0963966,The Sorcerer's Apprentice,Jon Turteltaub,Nicolas Cage,2010,63143812.0,PG,6.1,148674.0,46.0
337,tt2226417,Insidious: Chapter 2,James Wan,Patrick Wilson,2013,71401629.0,PG-13,6.6,148424.0,40.0
338,tt1279935,Date Night,Shawn Levy,Steve Carell,2010,98710290.0,PG-13,6.3,148690.0,56.0
339,tt1905041,Fast & Furious Presents: Hobbs & Shaw,Justin Lin,Vin Diesel,2013,238700000.0,PG-13,7.1,358271.0,61.0
340,tt0458481,Sin City: A Dame to Kill For,Frank Miller,Mickey Rourke,2014,11064709.0,R,6.5,147568.0,46.0
341,tt2080374,Steve Jobs,Danny Boyle,Michael Fassbender,2015,12403169.0,R,7.2,146682.0,82.0
342,tt0472399,The Mechanic,Simon West,Jason Statham,2011,29113588.0,R,6.6,146724.0,49.0
343,tt1611224,Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,Benjamin Walker,2012,37300000.0,R,5.9,146418.0,42.0
345,tt1560747,The Master,Paul Thomas Anderson,Joaquin Phoenix,2012,15800000.0,R,7.2,145209.0,86.0
346,tt1462758,Buried,Rodrigo Cortés,Ryan Reynolds,2010,200000.0,R,7.0,144626.0,65.0
347,tt0938283,The Last Airbender,M. Night Shyamalan,Noah Ringer,2010,131564731.0,PG,4.1,142507.0,20.0
348,tt1496025,Underworld Awakening,Måns Mårlind,Kate Beckinsale,2012,62321039.0,R,6.4,142581.0,39.0
349,tt1568911,War Horse,Steven Spielberg,Jeremy Irvine,2011,79883359.0,PG-13,7.2,141907.0,72.0
350,tt1568338,Man on a Ledge,Asger Leth,Sam Worthington,2012,18400000.0,PG-13,6.6,141586.0,40.0
351,tt1335975,47 Ronin,Carl Rinsch,Keanu Reeves,2013,20518224.0,PG-13,6.3,141735.0,28.0
352,tt0448694,Puss in Boots,Chris Miller,Antonio Banderas,2011,149234747.0,PG,6.6,139630.0,65.0
353,tt1809398,Unbroken,Angelina Jolie,Jack O'Connell,2014,70500647.0,PG-13,7.2,138929.0,59.0
354,tt1600196,The Drop,Michaël R. Roskam,Tom Hardy,2014,8709169.0,R,7.1,138051.0,69.0
355,tt1255953,Incendies,Denis Villeneuve,Mustafa Kamel,2010,6857096.0,R,8.3,137218.0,80.0
356,tt2848292,Pitch Perfect 2,Elizabeth Banks,Anna Kendrick,2015,165744048.0,PG-13,6.4,137139.0,63.0
357,tt1980929,Begin Again,John Carney,James Corden,2013,12078174.0,R,7.4,136889.0,62.0
358,tt1727388,The Way Way Back,Nat Faxon,Steve Carell,2013,21501098.0,PG-13,7.4,135925.0,68.0
359,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Georgie Henley,2010,104383624.0,PG,6.3,135848.0,53.0
360,tt2191701,Grown Ups 2,Dennis Dugan,Adam Sandler,2013,127400000.0,PG-13,5.4,134899.0,19.0
361,tt0989757,Dear John,Lasse Hallström,Channing Tatum,2010,79600000.0,PG-13,6.3,134512.0,43.0
362,tt1334260,Never Let Me Go,Mark Romanek,Carey Mulligan,2010,2412045.0,R,7.1,133641.0,69.0
363,tt1403981,Remember Me,Allen Coulter,Caitlyn Rund,2010,18242661.0,PG-13,7.1,133287.0,40.0
