,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
769,tt8404614,The Two Popes,Fernando Meirelles,Anthony Hopkins,2019,N/A,PG-13,7.6,"88,450",75
770,tt1623288,ParaNorman,Chris Butler,Kodi Smit-McPhee,2012,"$55,994,557",PG,7.0,"90,732",72
771,tt1216492,Leap Year,Anand Tucker,Amy Adams,2010,"$25,893,485",PG,6.5,"90,593",33
772,tt1195478,The Five-Year Engagement,Nicholas Stoller,Jason Segel,2012,"$28,644,770",R,6.2,"90,674",62
773,tt2548396,The Cloverfield Paradox,Julius Onah,Gugu Mbatha-Raw,2018,N/A,PG-13,5.5,"89,880",37
774,tt1791528,Inherent Vice,Paul Thomas Anderson,Joanna Newsom,2014,"$6,100,613",R,6.7,"89,975",81
775,tt1034314,Iron Sky,Timo Vuorensola,Julia Dietze,2012,"$66,076",R,5.9,"89,688",N/A
776,tt0087800,A Nightmare on Elm Street,Wes Craven,John Saxon,1984,N/A,R,7.5,"196,062",76
777,tt1602620,Amour,Michael Haneke,Jean-Louis Trintignant,2012,N/A,PG-13,7.9,"88,889",94
778,tt0892318,Letters to Juliet,Gary Winick,Amanda Seyfried,2010,"$53,021,560",PG,6.5,"89,266",50
779,tt1440728,The American,Anton Corbijn,George Clooney,2010,"$35,596,227",R,6.3,"88,870",61
780,tt2224026,Home,Tim Johnson,Jim Parsons,2015,"$157,801,252",PG,6.6,"88,888",55
781,tt3289956,The Autopsy of Jane Doe,André Øvredal,Brian Cox,2016,N/A,R,6.8,"87,255",65
782,tt1397514,Journey 2: The Mysterious Island,Brad Peyton,Dwayne Johnson,2012,"$103,812,241",PG,5.8,"88,829",41
783,tt3195644,Insidious: Chapter 3,Leigh Whannell,Dermot Mulroney,2015,N/A,PG-13,6.1,"88,651",52
784,tt1212419,Hereafter,Clint Eastwood,Cécile de France,2010,"$32,741,596",PG-13,6.4,"88,842",56
785,tt1161864,The Rite,Mikael Håfström,Anthony Hopkins,2011,"$33,037,754",PG-13,6.0,"88,736",38
786,tt0480255,The Losers,Sylvain White,Jeffrey Dean Morgan,2010,"$23,400,000",PG-13,6.3,"88,284",44
787,tt1781769,Anna Karenina,Joe Wright,Matthew Macfadyen,2012,"$12,802,907",R,6.6,"88,312",63
788,tt1549572,Another Earth,Mike Cahill,William Mapother,2011,"$957,752",PG-13,7.0,"88,267",66
789,tt0479997,Season of the Witch,Dominic Sena,Nicolas Cage,2011,"$24,800,000",PG-13,5.4,"88,229",28
790,tt1618434,Murder Mystery,Kyle Newacheck,Adam Sandler,2019,N/A,PG-13,6.0,"86,940",38
791,tt1981128,Geostorm,Dean Devlin,Gerard Butler,2017,N/A,PG-13,5.3,"88,351",21
792,tt1778304,Paranormal Activity 3,Henry Joost,Lauren Bittner,2011,"$103,993,239",R,5.8,"87,942",59
793,tt1412386,The Best Exotic Marigold Hotel,John Madden,Judi Dench,2011,"$46,377,022",PG-13,7.2,"87,886",62
794,tt3381008,The Brothers Grimsby,Louis Leterrier,Sacha Baron Cohen,2016,N/A,R,6.2,"87,607",44
795,tt1675192,Take Shelter,Jeff Nichols,Michael Shannon,2011,"$1,600,000",R,7.4,"87,554",85
796,tt1226273,Edge of Darkness,Martin Campbell,Mel Gibson,2010,"$43,290,977",R,6.6,"87,358",55
797,tt3063516,Bad Grandpa,Jeff Tremaine,Johnny Knoxville,2013,"$84,961,415",R,6.5,"87,602",54
798,tt4465564,Fifty Shades Darker,James Foley,Dakota Johnson,2017,"$114,376,885",R,4.6,"87,142",33
799,tt1477076,Saw: The Final Chapter,Kevin Greutert,Tobin Bell,2010,"$45,670,855",R,5.6,"87,071",24
800,tt1232200,That's My Boy,Sean Anders,Adam Sandler,2012,N/A,R,5.5,"87,434",31
801,tt2567026,Alice Through the Looking Glass,James Bobin,Johnny Depp,2016,N/A,PG,6.2,"87,235",34
802,tt4682786,Collateral Beauty,David Frankel,Will Smith,2016,N/A,PG-13,6.8,"86,288",23
803,tt1714915,Only Lovers Left Alive,Jim Jarmusch,Tilda Swinton,2013,N/A,R,7.3,"86,701",79
